id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_penduduk,satuan,semester,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,98921,ORANG,1,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,74934,ORANG,1,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,71909,ORANG,1,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,73424,ORANG,1,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,132098,ORANG,1,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,57433,ORANG,1,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,130651,ORANG,1,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,29961,ORANG,1,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,117144,ORANG,1,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,120547,ORANG,1,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,84081,ORANG,1,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,97792,ORANG,1,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,68310,ORANG,1,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,109125,ORANG,1,2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,71183,ORANG,1,2017
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,93850,ORANG,1,2017
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,51922,ORANG,1,2017
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,24192,ORANG,1,2017
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,110578,ORANG,1,2017
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,37961,ORANG,1,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,122913,ORANG,1,2017
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,71210,ORANG,1,2017
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,67221,ORANG,1,2017
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,37806,ORANG,1,2017
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,79994,ORANG,1,2017
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,80187,ORANG,1,2017
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,99280,ORANG,1,2017
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,73598,ORANG,1,2017
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,35742,ORANG,1,2017
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,80622,ORANG,1,2017
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,99085,ORANG,2,2017
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,75209,ORANG,2,2017
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,72424,ORANG,2,2017
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,73236,ORANG,2,2017
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,132497,ORANG,2,2017
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,57732,ORANG,2,2017
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,130831,ORANG,2,2017
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,29774,ORANG,2,2017
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,117515,ORANG,2,2017
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,120851,ORANG,2,2017
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,84079,ORANG,2,2017
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,97857,ORANG,2,2017
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,68316,ORANG,2,2017
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,109149,ORANG,2,2017
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,71612,ORANG,2,2017
46,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,94048,ORANG,2,2017
47,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,52044,ORANG,2,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,24145,ORANG,2,2017
49,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,111247,ORANG,2,2017
50,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,38169,ORANG,2,2017
51,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,124255,ORANG,2,2017
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,70943,ORANG,2,2017
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,67652,ORANG,2,2017
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,37882,ORANG,2,2017
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,80701,ORANG,2,2017
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,80314,ORANG,2,2017
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,99672,ORANG,2,2017
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,74029,ORANG,2,2017
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,35919,ORANG,2,2017
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,81271,ORANG,2,2017
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,99556,ORANG,1,2018
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,76436,ORANG,1,2018
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,73760,ORANG,1,2018
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,73684,ORANG,1,2018
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,135584,ORANG,1,2018
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,58758,ORANG,1,2018
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,131662,ORANG,1,2018
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,29148,ORANG,1,2018
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,119999,ORANG,1,2018
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,122220,ORANG,1,2018
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,84404,ORANG,1,2018
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,98474,ORANG,1,2018
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,68720,ORANG,1,2018
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,110628,ORANG,1,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,71212,ORANG,1,2018
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,94900,ORANG,1,2018
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,52787,ORANG,1,2018
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,24596,ORANG,1,2018
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,112338,ORANG,1,2018
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,39251,ORANG,1,2018
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,127783,ORANG,1,2018
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,70960,ORANG,1,2018
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,68667,ORANG,1,2018
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,38229,ORANG,1,2018
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,81289,ORANG,1,2018
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,79907,ORANG,1,2018
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,100560,ORANG,1,2018
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,76084,ORANG,1,2018
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,36102,ORANG,1,2018
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,83019,ORANG,1,2018
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,98790,ORANG,2,2018
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,77490,ORANG,2,2018
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,74780,ORANG,2,2018
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,73696,ORANG,2,2018
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,137077,ORANG,2,2018
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,58967,ORANG,2,2018
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,131842,ORANG,2,2018
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,28793,ORANG,2,2018
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,119959,ORANG,2,2018
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,122927,ORANG,2,2018
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,84836,ORANG,2,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,99461,ORANG,2,2018
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,69077,ORANG,2,2018
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,111140,ORANG,2,2018
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,72010,ORANG,2,2018
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,94998,ORANG,2,2018
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,53011,ORANG,2,2018
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,24812,ORANG,2,2018
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,112337,ORANG,2,2018
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,39640,ORANG,2,2018
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,128574,ORANG,2,2018
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,70504,ORANG,2,2018
113,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,69501,ORANG,2,2018
114,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,38633,ORANG,2,2018
115,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,82029,ORANG,2,2018
116,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,79470,ORANG,2,2018
117,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,100784,ORANG,2,2018
118,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,76256,ORANG,2,2018
119,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,36233,ORANG,2,2018
120,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,84552,ORANG,2,2018
121,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,99156,ORANG,1,2019
122,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,78047,ORANG,1,2019
123,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,75609,ORANG,1,2019
124,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,73991,ORANG,1,2019
125,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,137689,ORANG,1,2019
126,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,59479,ORANG,1,2019
127,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,132416,ORANG,1,2019
128,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,28859,ORANG,1,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,120690,ORANG,1,2019
130,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,123299,ORANG,1,2019
131,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,85425,ORANG,1,2019
132,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,100229,ORANG,1,2019
133,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,69362,ORANG,1,2019
134,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,112200,ORANG,1,2019
135,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,72272,ORANG,1,2019
136,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,95644,ORANG,1,2019
137,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,53470,ORANG,1,2019
138,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,24975,ORANG,1,2019
139,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,113425,ORANG,1,2019
140,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,39819,ORANG,1,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,129622,ORANG,1,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,70716,ORANG,1,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,70255,ORANG,1,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,39035,ORANG,1,2019
145,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,82564,ORANG,1,2019
146,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,79779,ORANG,1,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,101156,ORANG,1,2019
148,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,76564,ORANG,1,2019
149,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,36612,ORANG,1,2019
150,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,85462,ORANG,1,2019
151,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,99132,ORANG,2,2019
152,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,78564,ORANG,2,2019
153,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,76239,ORANG,2,2019
154,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,74078,ORANG,2,2019
155,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,138788,ORANG,2,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,59698,ORANG,2,2019
157,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,132811,ORANG,2,2019
158,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,28917,ORANG,2,2019
159,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,120900,ORANG,2,2019
160,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,123467,ORANG,2,2019
161,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,85639,ORANG,2,2019
162,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,101022,ORANG,2,2019
163,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,69783,ORANG,2,2019
164,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,112903,ORANG,2,2019
165,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,72791,ORANG,2,2019
166,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,96008,ORANG,2,2019
167,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,53622,ORANG,2,2019
168,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,25101,ORANG,2,2019
169,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,114163,ORANG,2,2019
